	Active_A	Active_B	Active_C	Active_D	Active_E	Active_F	Active_G	Active_H	Active_I	Active_J	Active_K	Active_L	Active_M	Active_N	Active_O	Active_P	Active_Q	Active_R	Active_S	Active_T	Active_U	Active_V	Former_A	Former_B	Former_C	Former_D	Former_E	Former_F	Former_G	Former_H	Former_I	Former_J	Former_K	Former_L	Former_M	Former_N	Former_O	Former_P	Former_Q	Former_R	Former_S	Former_T	Former_U	Former_V	Former_X	Former_Y	Never_A	Never_B	Never_C	Never_D	Never_E	Never_F	Never_G	Never_H	Never_I
Selenomonas.03	0.001898734	0	0	0.004979734	0.004859813	0	0.000227015	0.006386637	0.003513072	0.001988401	0.002663116	0.000282167	0.00331785	0.001912452	0.000576369	0	0	0.001960784	0.000742942	0.003305239	0.00307163	0.003062117	0	0	0.001247661	0	0	0.002147459	0	0	0	0	0	0.000337952	0.001297017	0.002630195	0.002015113	0.001457726	0.001455604	0.001496599	0.001913876	0.001115656	0.000220702	0	0.001384083	0.002176871	0	0.00183711	0	0.001808727	0.001459321	0	0.00135318	0.00462963	0.000571755
Solobacterium.01	0.007594937	0.000277546	0.000617856	0.003821656	0.004859813	0.010385414	0	0.004421518	0.004738562	0.003976802	0.003994674	0.00282167	0.0066357	0.00361241	0.000576369	0.014112903	0.004379562	0	0.009658247	0.002478929	0.001597248	0.003499563	0	0	0.004210855	0.019870291	0	0.005010737	0.00148258	0	0	0	0	0.012504224	0.004539559	0.00473435	0.012342569	0.000728863	0.002495321	0.003129252	0.002870813	0.009204165	0.002648422	0.003552398	0	0.001904762	0.000890789	0.00183711	0	0.013565453	0.018606348	0.000515464	0.00811908	0.02662037	0.007432819
Staphylococcus.01	0.031329114	0.036913683	0.116465863	0.01910828	0.01046729	0.017309024	0.016345062	0.013510194	0.032679739	0.030820215	0.026631158	0.021444695	0.01526211	0.011262218	0.020172911	0.004032258	0.005839416	0.01372549	0.014858841	0.008758883	0.011917926	0.008311461	0.033073036	0.003086817	0.011384903	0.002069822	0.066832156	0.017179671	0.030392884	0.017821782	0.007712082	0.03853211	0.012718601	0.018925313	0.011673152	0.011572856	0.005037783	0	0.029839884	0.011836735	0.020095694	0.003904797	0.017656147	0.010657194	0.012456747	0.010884354	0.018528416	0.015921617	0.013409962	0.002034818	0.003648304	0.013402062	0.01894452	0.009259259	0.017152659
Streptococcus.01	0.046518987	0.034693311	0.013283905	0.066357846	0.110280374	0.037618278	0.000681044	0.09137804	0.050980392	0.057497929	0.059920107	0.077595937	0.077637691	0.063960901	0.118731988	0.0625	0.087591241	0.094117647	0.060921248	0.059494298	0.045951591	0.064741907	0.002296739	0.064051447	0.043356207	0.051055609	0.002291388	0.060844667	0.023227082	0.122772277	0.035989717	0.031192661	0.114467409	0.088205475	0.058365759	0.103629669	0.175062972	0.20335277	0.064982325	0.048707483	0.081339713	0.12941614	0.072831605	0.055062167	0.057439446	0.060408163	0.009798682	0.067973056	0.141762452	0.071896903	0.169646115	0.062886598	0.094722598	0.177083333	0.084619783
Sulfuricurvum.01	0.001898734	0.002497918	0.000617856	0.000231616	0.000747664	0	0	0	0.000571895	0.003645402	0.002663116	0	0.00066357	0.001274968	0	0	0	0.001960784	0	0.001322096	0.000860057	0.000874891	0	0	0	0	0	0.00071582	0.003953546	0	0.002570694	0.005504587	0	0	0	0.001052078	0.000503778	0	0.00062383	0.000272109	0.001913876	0	0.000662105	0	0.000692042	0.001088435	0	0.00122474	0	0	0.00036483	0	0.00135318	0	0
Tannerella.01	0.001898734	0	0	0	0.001121495	0	0	0	0.000163399	0	0	0	0.00066357	0.001274968	0.001152738	0.030241935	0	0	0.002228826	0.000330524	0	0	0	0.000771704	0.000155958	0	0	0	0	0	0	0	0	0	0.000648508	0.00473435	0.001511335	0.002915452	0.000103972	0	0	0.005392339	0.000662105	0	0	0.000816327	0	0	0	0.000904364	0.000547246	0	0	0.003472222	0.002858776
TM7_genus_incertae_sedis.01	0.043037975	0.001387732	0.002986304	0.055240301	0.049345794	0.005538888	0.000908059	0.049373618	0.040931373	0.025352113	0.018641811	0.022291196	0.055739881	0.055461113	0.009221902	0.006048387	0.01459854	0.019607843	0.008172363	0.062469013	0.054920752	0.060804899	0.000459348	0.075755627	0.037117904	0.007037395	0.053465725	0.040801718	0.005683222	0.005940594	0	0	0.033386328	0.036160865	0.075226978	0.043135192	0.027959698	0.001457726	0.073819921	0.055510204	0.012440191	0.010598736	0.025822114	0.065719361	0.056747405	0.053605442	0.012292892	0.055725658	0.005747126	0.056296631	0.002188982	0.034536082	0.037889039	0.023148148	0.016009148
TM7_genus_incertae_sedis.02	0.012658228	0.002497918	0.009061889	0.0134337	0.004859813	0.104315717	0.098978434	0.002210759	0.025163399	0.02071251	0.002663116	0.023137698	0.01725282	0.014662133	0.012103746	0.004032258	0.01459854	0.009803922	0.000742942	0.012394646	0.014006635	0.010498688	0	0	0.04382408	0.122119498	0.011838839	0.017179671	0.007165802	0	0	0.001834862	0	0.001351808	0.010376135	0.008942662	0.007052897	0.002915452	0.026200873	0.049115646	0.006698565	0.002231313	0.009490179	0.003552398	0.018685121	0.008435374	0.006413683	0.011022658	0.011494253	0.001582636	0.002918643	0.026804124	0.01894452	0.001157407	0.021154946
TM7_genus_incertae_sedis.03	0.009810127	0	0.00102976	0.015286624	0.016448598	0	0.000227015	0.019159912	0.009313725	0.004971002	0.015978695	0.01721219	0.01725282	0.013174671	0.006340058	0.004032258	0.013138686	0.01372549	0.008172363	0.012890431	0.020272761	0.015748031	0	0.017106109	0.016531503	0	0	0.016463851	0	0	0	0	0.0063593	0.030077729	0.017509728	0.015781168	0.010579345	0.005830904	0.02599293	0.009115646	0.022966507	0.03068055	0.018538954	0.019538188	0.021453287	0.018503401	0	0.014696877	0.009578544	0.004747909	0.061473915	0.006185567	0.00811908	0.003472222	0.018296169
TM7_genus_incertae_sedis.04	0.007594937	0	0.000617856	0.017602779	0.014579439	0	0	0.020633751	0.013562092	0.014250207	0.003994674	0	0.02455209	0.022311942	0.001729107	0.002016129	0.005839416	0.001960784	0.004457652	0.013055693	0.0226072	0.014435696	0	0.018906752	0.007797879	0	0	0.012168933	0.003953546	0.005940594	0	0	0.004769475	0.01351808	0.026588846	0.018411362	0.005289673	0	0.028904138	0.011836735	0.003827751	0.005020454	0.006621055	0.014209591	0.022145329	0.017414966	0	0.022045315	0.007662835	0.002939182	0.00036483	0.005670103	0.01082544	0.002314815	0.00971984
TM7_genus_incertae_sedis.05	0.000316456	0	0.000926784	0.000926462	0.000373832	0.015693515	0	0	0.00122549	0.005136703	0.002663116	0.002257336	0.00132714	0.001699958	0.000576369	0	0	0	0	0.000495786	0.000860057	0	0	0	0.002807236	0.022216089	0.000381898	0	0.004694836	0	0	0.001834862	0	0.000675904	0	0.001052078	0.001259446	0	0.001975463	0.000544218	0	0	0.003751931	0	0.000692042	0	0	0.004898959	0	0.000226091	0.000182415	0.001030928	0	0	0
TM7_genus_incertae_sedis.06	0.002531646	0	0	0.000810654	0.002242991	0	0	0.002210759	0.000490196	0.0008285	0.003994674	0.000282167	0.00066357	0.001487463	0.000576369	0	0	0	0	0.002148405	0.006020396	0.001312336	0	0.000771704	0.000467873	0	0	0	0	0	0	0	0	0.001013856	0.001945525	0.001578117	0	0	0.004366812	0.000680272	0	0	0	0	0.002768166	0.001088435	0	0.006123699	0	0	0.000547246	0	0	0	0
TM7_genus_incertae_sedis.07	0.001582278	0	0	0.000694847	0.000373832	0	0	0	0	0	0.002663116	0	0	0.000849979	0	0.008064516	0	0.009803922	0.000742942	0.000165262	0.000368596	0	0	0	0.005302558	0	0	0.005726557	0	0	0	0	0	0.000337952	0.000648508	0	0.001259446	0.002186589	0.00062383	0.000544218	0	0.006600967	0.001103509	0	0.000692042	0	0	0.00061237	0	0	0.001094491	0	0	0	0
TM7_genus_incertae_sedis.08	0	0	0.00102976	0.000694847	0.000747664	0.001384722	0.000227015	0.00024564	0.001715686	0.0006628	0	0.001128668	0	0.001699958	0	0	0	0	0	0.000330524	0.000737191	0.001312336	0	0	0.001403618	0.001517869	0.001336643	0.001431639	0.000494193	0	0	0	0	0	0	0.000526039	0.000503778	0	0.001871491	0.002857143	0	0	0	0	0.002076125	0	0	0.002449479	0	0.000226091	0	0.00257732	0.00270636	0	0.000571755
Treponema.01	0.002848101	0	0	0.000926462	0.000747664	0	0	0.001473839	0.000653595	0.0001657	0.001331558	0	0.00132714	0.001062473	0.000576369	0.004032258	0.008759124	0.003921569	0.004457652	0.000495786	0.000368596	0.001312336	0	0.000128617	0.000155958	0	0	0.00071582	0	0	0	0	0	0	0.001297017	0	0.003778338	0.000728863	0.000831774	0.000816327	0.003827751	0.020360729	0.002648422	0.001776199	0.000692042	0.000816327	0	0.00061237	0	0.002034818	0	0	0.00135318	0.005787037	0.005145798
Tropheryma.01	0	0	0	0.000347423	0	0	0	0	0.000980392	0	0	0	0.00066357	0.000212495	0	0	0	0	0	0.000330524	0.018184052	0	0	0	0	0	0	0.001431639	0.000988386	0	0	0	0	0	0.000648508	0.001578117	0	0	0.000207943	0.000272109	0	0	0	0	0.001384083	0.000544218	0	0	0	0	0	0	0	0	0
Veillonella.01	0.008227848	0.000277546	0.000205952	0.015981471	0.031401869	0.00692361	0	0.030950626	0.013643791	0.007622204	0.007989348	0.009593679	0.0132714	0.010624734	0.009798271	0.024193548	0.011678832	0.003921569	0.012630015	0.019666171	0.007863374	0.007874016	0	0.002958199	0.008421709	0	0.001336643	0.014316392	0.003212256	0.007920792	0	0	0.00317965	0.022304833	0.01232166	0.011572856	0.029722922	0.032069971	0.0102932	0.01170068	0.006698565	0.030122722	0.00838667	0.017761989	0.011764706	0.014421769	0.000712631	0.017758726	0	0.05087045	0.053265232	0.008762887	0.0135318	0.059027778	0.01943968
Veillonella.02	0.000316456	0	0	0.000463231	0	0	0	0.00098256	0.000735294	0	0.001331558	0.000282167	0	0.000212495	0.001152738	0	0	0.001960784	0	0.001322096	0.00024573	0	0	0.000514469	0.000779788	0	0	0.00071582	0	0	0	0	0.004769475	0	0.002594034	0.000526039	0.001259446	0.000728863	0.000103972	0.000816327	0	0.000557828	0.001544913	0	0	0.000544218	0.000356316	0	0.005747126	0.004747909	0.000729661	0.001546392	0	0.003472222	0
